SYD-sky,LHR-sky,3/5/17,3/25/17
SYD-sky,MNL-sky,10/5/16,10/25/16
SYD-sky,MNL-sky,11/5/16,11/25/16
SYD-sky,MNL-sky,12/5/16,12/25/16
SYD-sky,MNL-sky,1/5/17,1/25/17
SYD-sky,MNL-sky,2/5/17,2/25/17
SYD-sky,MNL-sky,3/5/17,3/25/17
SYD-sky,NAN-sky,10/5/16,10/25/16
SYD-sky,NAN-sky,11/5/16,11/25/16
SYD-sky,NAN-sky,12/5/16,12/25/16
SYD-sky,NAN-sky,1/5/17,1/25/17
SYD-sky,NAN-sky,2/5/17,2/25/17
SYD-sky,NAN-sky,3/5/17,3/25/17
SYD-sky,SGN-sky,10/5/16,10/25/16
SYD-sky,SGN-sky,11/5/16,11/25/16
SYD-sky,SGN-sky,12/5/16,12/25/16
SYD-sky,SGN-sky,1/5/17,1/25/17
SYD-sky,SGN-sky,2/5/17,2/25/17
SYD-sky,SGN-sky,3/5/17,3/25/17
SYD-sky,SIN-sky,10/5/16,10/25/16
SYD-sky,SIN-sky,11/5/16,11/25/16
SYD-sky,SIN-sky,12/5/16,12/25/16
SYD-sky,SIN-sky,1/5/17,1/25/17
SYD-sky,SIN-sky,2/5/17,2/25/17
SYD-sky,SIN-sky,3/5/17,3/25/17
